Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
HEDEF,29-04-2024,26.44,9.98,749.98,25.1,25.1,25.23,25.49,25.17,25.12,24.93,25.14,25.44,26.13,1284529.33,53.44,+,+,+,+,,,+,+_29-04-2024 09:00:00,-_03-04-2024 09:00:00,,,+,+,,-,+,+,+,+,+,+,+,14,1
MRSHL,29-04-2024,2310.0,8.81,222.82,2186.41,2168.21,2163.81,2177.77,2198.85,2165.61,2156.13,2151.95,1666.69,2251.33,86707.0,58.7,+,+,+,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,+,,+,+,+,+,,+,+,,,,,14,0
BRSAN,29-04-2024,616.0,3.36,187.53,603.09,602.53,604.53,610.3,604.03,602.73,600.18,602.24,546.82,616.83,866706.0,50.43,+,+,+,+,,,+,+_29-04-2024 09:00:00,-_08-03-2024 09:00:00,,,+,+,,+,,-,+,+,,+,+,12,1
LRSHO,29-04-2024,3.11,4.01,109.64,3.05,3.04,3.03,3.03,3.05,3.04,3.03,3.04,2.62,3.11,62037129.0,55.85,+,+,+,+,,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,+,,-,,+,,+,,+,,11,1
EGEEN,29-04-2024,16640.0,5.07,103.48,16305.67,16274.2,16157.82,15946.38,16312.81,16255.29,16325.94,16327.48,11301.76,16551.67,19346.67,57.7,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_05-04-2024 09:00:00,-,,+,+,,+,,+,+,,,+,,11,1
DENGE,29-04-2024,2.88,9.92,242.39,2.7,2.68,2.69,2.73,2.72,2.68,2.65,2.67,2.58,2.8,28937018.67,54.89,,+,+,+,+,,+,+_29-04-2024 09:00:00,-_22-03-2024 09:00:00,,,,+,+,-,,+,+,,+,,+,11,1
KARTN,29-04-2024,141.2,9.97,225.88,135.02,135.87,137.71,138.39,135.15,136.28,133.86,136.99,98.39,136.17,1061641.0,52.71,+,+,+,,,,,-_16-04-2024 09:00:00,-_17-04-2024 09:00:00,,,+,+,,+,,+,+,+,,+,+,11,0
LIDER,29-04-2024,74.1,9.78,277.32,69.78,69.65,69.91,70.08,70.06,69.69,68.98,69.64,60.03,71.53,899536.0,59.67,+,+,+,+,,,+,+_29-04-2024 09:00:00,-_18-04-2024 09:00:00,,,,+,,+,,,+,+,,+,+,11,0
YUNSA,29-04-2024,76.15,2.56,71.3,75.05,74.99,74.83,74.66,75.09,74.96,75.01,75.2,71.79,75.72,852535.33,53.86,+,+,+,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,,,+,,,,,,+,,10,0
BRISA,29-04-2024,126.9,6.46,76.18,124.02,124.29,124.48,124.44,123.96,124.35,124.39,124.95,93.87,125.17,828687.33,52.68,+,+,+,,,,,-_24-04-2024 09:00:00,-_25-04-2024 09:00:00,,,+,+,,+,,+,+,,,+,,9,0
GOZDE,29-04-2024,24.06,3.89,29.19,23.41,23.37,23.49,23.78,23.46,23.39,23.19,23.4,22.69,23.88,2037734.33,50.66,,+,+,+,,,+,+_29-04-2024 09:00:00,-_26-03-2024 09:00:00,,,,+,+,-,,,,+,+,,+,9,1
PSDTC,29-04-2024,126.5,10.0,118.68,119.14,117.83,116.54,114.29,119.88,117.53,117.64,116.51,72.83,122.77,158696.67,63.5,+,+,,,,,,+_09-04-2024 09:00:00,+_17-01-2024 09:00:00,,,+,+,,+,,+,,+,,+,,8,0
PCILT,29-04-2024,13.61,4.93,85.09,13.25,13.18,13.11,13.18,13.28,13.16,13.23,13.11,12.84,13.46,2585072.67,53.41,+,+,+,,,+,,+_09-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,+,,-,,+,,,,,+,8,1
ARDYZ,29-04-2024,42.8,3.78,35.78,42.28,42.21,42.2,42.65,42.3,42.19,42.18,42.23,31.52,42.3,5489442.67,49.33,+,+,+,+,+,,+,+_29-04-2024 09:00:00,-_05-03-2024 09:00:00,,-,+,,,-,,+,,,,,,8,2
ESCOM,29-04-2024,83.75,9.98,158.77,78.9,78.09,77.39,77.21,79.33,77.89,78.16,77.6,57.29,80.55,661882.67,60.6,+,+,+,,,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,+,,-,,,+,,,,,8,1
UMPAS,29-04-2024,12.21,7.11,82.19,11.58,11.55,11.59,11.65,11.63,11.55,11.44,11.54,8.6,12.15,172168.33,54.25,,,+,+,,,+,+_29-04-2024 09:00:00,-_18-04-2024 09:00:00,,,,+,,+,,,,+,,+,+,8,0
HATEK,29-04-2024,15.05,4.37,26.19,14.52,14.45,14.4,14.41,14.57,14.43,14.39,14.43,12.37,14.83,4189030.33,56.99,,,,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,+,,+,,+,,,,8,0
NUHCM,29-04-2024,305.0,5.54,97.42,293.38,291.33,290.2,290.66,294.62,290.95,290.5,289.59,267.06,299.67,321357.0,57.69,,,,,+,+,,+_26-04-2024 09:00:00,+_29-04-2024 09:00:00,+,,,+,,+,,,+,+,,,,7,0
OFSYM,29-04-2024,51.95,9.97,177.05,48.56,48.0,47.63,47.81,48.9,47.88,47.88,47.61,58.96,50.57,1519157.33,60.93,,,,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,,,,+,+,,,,7,0
ADGYO,29-04-2024,30.0,1.01,-14.92,29.88,29.86,29.86,30.18,29.88,29.84,29.93,29.88,32.86,29.87,1338526.67,46.72,+,+,+,,+,,+,+_29-04-2024 09:00:00,-_29-04-2024 09:00:00,,,+,+,,,,,,,,,,7,0
YESIL,29-04-2024,4.75,9.95,-46.31,4.51,4.38,4.25,4.16,4.55,4.35,4.42,4.25,4.34,4.61,44427562.33,64.28,+,,,,,,,+_19-04-2024 09:00:00,+_22-04-2024 09:00:00,,,+,+,+,+,+,+,,,,,,7,0
YBTAS,29-04-2024,176000.0,2.33,-46.67,174649.27,175220.51,176381.78,178013.16,174544.67,175441.25,174500.89,176131.42,135884.48,174666.67,19.33,47.99,+,+,,,,,,-_16-04-2024 09:00:00,-_15-04-2024 09:00:00,,,+,+,+,-,,+,,+,,,,7,1
