Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
LMKDC,30-04-2024,28.48,9.96,80.16,27.06,27.06,27.4,28.06,27.15,27.11,26.82,27.01,29.48,27.82,16028906.33,50.12,+,+,+,+,,,+,+_30-04-2024 09:00:00,-_30-04-2024 09:00:00,,,+,+,,,,+,+,+,+,+,+,13,0
BINHO,30-04-2024,504.0,9.92,79.97,478.57,478.65,482.16,490.2,479.79,479.16,474.15,481.18,441.1,488.17,1144463.67,51.79,+,+,+,,,,+,+_30-04-2024 09:00:00,-_30-04-2024 09:00:00,,-,+,+,+,,,+,+,+,+,+,,12,1
DOFER,30-04-2024,40.8,9.97,389.58,38.7,38.68,38.95,39.66,38.82,38.71,38.37,38.77,36.83,39.58,2752944.67,51.93,+,+,+,+,,,+,+_30-04-2024 09:00:00,-_30-04-2024 09:00:00,,,+,+,,,,,+,+,+,+,+,12,0
OYLUM,30-04-2024,11.03,3.86,141.1,10.89,10.87,10.84,10.84,10.9,10.86,10.9,10.87,8.64,11.08,3076410.67,52.81,+,+,+,+,,,+,+_30-04-2024 09:00:00,+_22-04-2024 09:00:00,,+,+,+,+,-,,,+,+,,+,,12,1
SAMAT,30-04-2024,51.85,3.7,54.51,50.84,50.83,50.9,51.32,50.88,50.84,50.67,51.12,41.55,51.45,629191.33,50.26,+,+,+,+,,,+,+_30-04-2024 09:00:00,-_22-04-2024 09:00:00,,,+,+,,-,,,,+,,+,+,10,1
FMIZP,30-04-2024,342.75,2.54,47.94,339.03,339.19,339.07,337.79,339.17,339.24,338.16,340.01,273.85,339.83,148094.33,52.38,+,+,+,,,+,,-_18-04-2024 09:00:00,+_30-04-2024 09:00:00,,-,+,+,,+,,+,,+,,+,,10,1
EKIZ,30-04-2024,78.05,9.93,84.83,74.55,73.92,72.97,71.69,74.78,73.71,74.52,73.52,47.19,77.53,56481.0,58.57,+,+,+,,,,+,+_30-04-2024 09:00:00,+_09-04-2024 09:00:00,,,+,+,,+,,+,,,+,+,,10,0
TTRAK,30-04-2024,919.5,2.11,75.06,910.4,910.53,911.29,910.46,910.7,910.69,909.96,911.29,737.27,917.17,470164.0,53.07,+,+,+,,,,+,+_30-04-2024 09:00:00,-_25-04-2024 09:00:00,,,+,,,-,,+,+,,,+,+,9,1
TERA,30-04-2024,41.5,4.43,62.89,40.97,40.94,40.73,40.54,40.95,40.9,41.18,41.05,36.44,40.73,301227.33,54.45,+,+,+,+,,,+,+_30-04-2024 09:00:00,+_16-04-2024 09:00:00,,,+,+,,-,,+,,,,+,,9,1
EUREN,30-04-2024,15.54,2.3,364.83,15.37,15.33,15.34,15.55,15.39,15.32,15.33,15.27,15.46,15.66,15808941.33,47.7,+,+,+,,+,,,+_24-04-2024 09:00:00,-_18-03-2024 09:00:00,,-,+,,,-,+,,+,+,,,,8,2
GEDZA,30-04-2024,28.7,2.87,-11.96,28.52,28.4,28.15,27.85,28.54,28.35,28.58,28.31,22.06,28.55,833940.67,55.89,+,+,+,,,,,+_08-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,+,,+,,+,,,,+,,8,0
KAYSE,30-04-2024,33.3,9.97,74.31,31.33,30.94,30.68,30.72,31.55,30.86,30.84,30.65,33.14,32.26,5631385.0,61.18,+,,,,,+,,+_26-04-2024 09:00:00,+_30-04-2024 09:00:00,+,,+,+,,+,+,+,,,,,,8,0
EGPRO,30-04-2024,213.2,3.8,72.43,208.35,207.5,207.66,208.62,208.91,207.42,207.16,206.35,159.31,210.43,364213.33,52.94,+,+,+,,+,,,+_26-04-2024 09:00:00,-_01-04-2024 09:00:00,+,,+,,,-,,+,,,+,,,8,1
ONCSM,30-04-2024,176.3,3.46,167.11,174.28,174.38,175.88,180.05,174.38,174.56,174.07,173.57,172.56,176.1,370861.0,43.78,+,+,+,,,,,-_26-04-2024 09:00:00,-_06-03-2024 09:00:00,+,,+,,,-,+,+,,,,,+,8,1
OZRDN,30-04-2024,61.2,4.17,60.23,60.13,59.88,59.6,59.54,60.21,59.81,60.03,59.79,44.89,60.68,292616.33,53.9,+,+,+,,,,,+_09-04-2024 09:00:00,+_22-04-2024 09:00:00,,,+,+,,-,,+,,,,+,,7,1
SUNTK,30-04-2024,17.6,2.27,-15.06,17.47,17.4,17.3,17.27,17.49,17.38,17.48,17.34,16.47,17.48,737797.33,53.57,+,+,+,,,,,+_08-04-2024 09:00:00,+_19-04-2024 09:00:00,,,+,+,,-,,+,,,,+,,7,1
CONSE,30-04-2024,7.41,9.94,78.18,7.18,7.05,6.81,6.58,7.21,7.0,7.24,6.9,6.36,7.09,57274318.0,60.69,+,+,,,,,,+_08-04-2024 09:00:00,+_18-04-2024 09:00:00,,,+,+,,+,,+,,,,+,,7,0
EMKEL,30-04-2024,15.34,2.88,64.02,15.17,15.23,15.35,15.56,15.17,15.25,15.13,15.29,14.56,15.29,3984807.33,45.8,+,+,,,,,,-_16-04-2024 09:00:00,-_12-02-2024 09:00:00,,,+,+,,-,,+,,+,+,,,7,1
BASCM,30-04-2024,15.58,1.5,-5.99,15.44,15.4,15.41,15.37,15.46,15.4,15.36,15.32,10.59,15.58,166606.0,52.92,+,+,+,,+,,,+_25-04-2024 09:00:00,+_25-04-2024 09:00:00,+,,+,,,-,,,,,,+,,7,1
