Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
GARFA,08-02-2024,116.7,9.99,154.24,111.32,111.27,110.73,111.57,111.26,110.31,112.03,67.88,112.93,712333.33,60.46,+,+,+,+,+,+,,,+,+,,+,,+,+,+,,,,12,0
GUBRF,08-02-2024,158.0,9.95,116.84,148.74,147.2,146.99,149.61,146.92,147.26,145.88,261.06,153.2,18092173.33,46.91,+,+,+,+,+,+,,,+,+,,-,,+,+,+,,,+,12,1
QUAGR,08-02-2024,4.16,4.26,141.43,4.06,4.05,4.06,4.07,4.05,4.04,4.04,5.84,4.13,108951675.33,45.32,+,+,+,+,,+,+,,+,+,,-,,+,+,+,,,,11,1
ISGYO,08-02-2024,18.31,3.5,70.56,17.97,17.92,17.83,17.99,17.91,17.91,17.95,16.81,18.13,14249869.33,55.32,+,+,+,+,,+,,,+,+,,+,,+,,,,+,,10,0
KRSTL,08-02-2024,11.34,5.78,213.6,11.03,11.06,11.22,11.04,11.09,10.96,11.08,10.93,11.24,12547385.67,45.48,+,+,+,,,,,,+,+,,-,+,+,+,+,+,,,10,1
ETYAT,08-02-2024,10.72,9.95,185.72,10.11,10.01,9.93,10.18,9.99,9.98,9.89,8.18,10.31,1493803.67,61.96,+,+,+,,,,,+,+,,,+,,,+,,+,+,,9,0
PEGYO,08-02-2024,24.78,8.02,116.96,23.7,23.53,23.14,23.77,23.47,23.59,23.61,12.79,24.21,6907367.33,68.58,+,+,,+,,+,,,+,+,,+,,+,+,,,,,9,0
TKNSA,08-02-2024,38.92,4.85,23.37,37.95,37.84,37.47,37.99,37.78,37.98,37.93,29.72,38.39,6041632.33,63.14,+,+,+,+,,+,,,+,+,,+,,+,,,,,,9,0
SELEC,08-02-2024,61.4,1.49,27.6,61.18,61.15,61.04,61.19,61.13,61.18,61.05,51.29,61.05,3288144.0,53.99,+,+,+,+,,+,,,+,+,,+,,+,,-,,,,9,1
BRKO,08-02-2024,3.86,6.34,-46.89,3.8,3.78,3.72,3.8,3.77,3.86,3.76,4.13,3.82,1309067.0,56.34,+,+,+,,,,,,+,+,,+,,+,,,,+,+,9,0
SKBNK,08-02-2024,4.97,2.9,75.33,4.9,4.9,4.9,4.9,4.9,4.88,4.91,4.8,4.93,64508043.0,48.32,+,+,+,+,,+,,,+,+,,+,,+,,,,,,9,0
INVEO,08-02-2024,49.38,5.56,112.7,47.85,47.47,46.97,48.01,47.36,47.59,47.15,40.47,48.88,3463850.0,63.8,+,+,,,,,,,+,+,,+,,+,,+,,+,,8,0
BRSAN,08-02-2024,663.5,9.94,132.85,631.15,623.05,613.45,634.42,620.74,627.91,615.07,511.12,644.0,1807902.67,62.98,+,+,+,,,,,+,+,+,,-,,+,+,,,,,8,1
ECZYT,08-02-2024,295.0,5.08,100.21,287.13,284.78,281.25,288.02,284.03,285.77,283.23,231.63,290.33,1057205.33,62.86,+,+,,,,,,,+,+,+,+,,+,,,,+,,8,0
EUKYO,08-02-2024,15.55,5.21,47.26,15.28,15.43,15.54,15.24,15.46,15.27,15.7,11.03,15.27,565032.33,51.87,+,+,+,,,,,,+,,,+,,+,,+,,,+,8,0
KENT,08-02-2024,520.5,3.48,-40.8,516.85,513.64,507.42,517.35,512.34,518.0,511.02,423.4,515.0,9923.33,54.17,+,+,+,,,,,,+,+,,+,,+,,,,+,,8,0
YYLGD,08-02-2024,16.29,4.69,155.47,15.91,15.76,15.47,15.95,15.71,15.91,15.66,15.24,16.22,26927373.67,68.49,+,+,,,,,,,+,+,,+,,+,+,,,+,,8,0
MMCAS,08-02-2024,12.65,10.0,-4.79,12.52,12.51,12.16,12.46,12.46,12.85,12.68,9.01,12.2,176250.0,58.71,+,+,+,+,,,,,+,,,+,,+,,,,,,7,0
TERA,08-02-2024,41.16,4.73,118.05,39.88,40.05,40.52,39.95,40.15,39.46,40.24,33.84,40.57,608418.0,51.62,,+,+,,,,,,,+,+,+,,+,,,,+,,7,0
ALCAR,08-02-2024,1304.0,9.95,174.68,1230.05,1209.46,1185.2,1238.67,1203.72,1218.98,1190.0,929.8,1265.0,116252.33,69.51,+,,,,,,,,+,,+,+,,+,+,+,,,,7,0
DARDL,08-02-2024,8.0,9.89,241.63,7.52,7.4,7.2,7.57,7.36,7.41,7.36,5.55,7.74,15562097.67,73.92,,,,,,,,,+,+,,+,,+,+,,+,+,,7,0
IHYAY,08-02-2024,3.22,4.55,43.58,3.12,3.11,3.1,3.13,3.11,3.1,3.1,2.18,3.18,10961959.67,57.39,,,+,+,+,+,,,,+,,-,,+,,,,+,,7,1
CLEBI,08-02-2024,1090.0,5.83,179.3,1049.47,1037.66,1018.83,1054.23,1033.87,1041.78,1031.51,832.58,1074.0,132640.33,71.99,,,,,,,,,+,+,,+,,+,+,+,,+,,7,0
ELITE,08-02-2024,58.5,9.96,-34.22,55.42,54.59,53.71,55.78,54.37,54.82,53.88,41.88,57.7,2107893.67,61.26,+,+,,,,,,,+,+,,+,,+,,+,,,,7,0
PSDTC,08-02-2024,76.9,6.58,110.68,73.94,72.77,70.72,74.31,72.36,73.63,72.03,52.57,75.62,132680.67,71.43,+,,,,,,,,+,,,+,,+,+,+,,+,,7,0
FENER,08-02-2024,112.5,2.74,21.56,111.56,111.97,112.35,111.49,112.1,111.55,112.2,94.94,111.63,2524961.67,51.32,+,+,+,,,,,,+,,,+,,+,,,,+,,7,0
