Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
VBTYZ,07-05-2024,35.32,3.27,228.03,34.86,34.82,34.74,34.78,34.87,34.8,34.88,34.86,27.17,36.01,4149487.33,51.86,+,+,+,+,+,+,+,+_07-05-2024 09:00:00,+_07-05-2024 09:00:00,,,+,,,-,,,+,,,+,,10,1
SUWEN,07-05-2024,20.7,4.28,124.72,20.2,20.21,20.29,20.4,20.23,20.23,20.09,20.27,19.73,20.5,1874270.33,52.13,+,+,+,,,,+,+_07-05-2024 09:00:00,-_25-04-2024 09:00:00,,,+,+,,-,,+,+,,,+,,9,1
SEGYO,07-05-2024,4.62,4.05,111.99,4.52,4.51,4.48,4.51,4.52,4.5,4.52,4.5,4.71,4.6,10630861.0,51.29,+,+,+,+,,+,+,+_07-05-2024 09:00:00,+_07-05-2024 09:00:00,,,+,,,+,,+,,,,,,9,0
DESA,07-05-2024,30.5,4.38,77.38,29.9,29.81,29.46,28.69,29.93,29.76,29.92,29.87,21.19,30.11,1482205.33,61.7,+,+,+,+,,,+,+_07-05-2024 09:00:00,+_27-03-2024 09:00:00,+,,+,,,+,,+,,,,,,9,0
HEDEF,07-05-2024,25.4,2.42,1.78,24.96,24.94,25.02,25.24,24.99,24.95,24.88,24.88,25.41,25.23,603157.0,49.83,,+,+,+,,,+,+_07-05-2024 09:00:00,-_03-04-2024 09:00:00,,,,+,,+,,+,,+,,,,8,0
CEMTS,07-05-2024,10.96,2.53,48.79,10.88,10.81,10.66,10.52,10.9,10.78,10.92,10.76,10.77,10.75,11395400.33,56.78,+,+,,,,,,+_09-04-2024 09:00:00,+_22-04-2024 09:00:00,,,+,+,,+,+,+,,,,+,,8,0
RYSAS,07-05-2024,42.8,3.13,40.37,42.35,42.33,41.85,40.59,42.33,42.28,42.49,42.69,30.57,42.33,1078657.33,57.32,+,+,+,+,,,+,+_07-05-2024 09:00:00,+_05-04-2024 09:00:00,,,+,,,+,,+,,,,,,8,0
RAYSG,07-05-2024,478.0,8.88,104.85,461.86,463.16,460.98,450.82,461.43,463.14,464.38,467.51,239.12,462.92,441251.67,61.38,+,+,+,,+,,,-_03-05-2024 09:00:00,+_07-05-2024 09:00:00,,,+,+,,+,,,,,,,+,8,0
GLYHO,07-05-2024,13.83,2.22,38.49,13.7,13.69,13.59,13.4,13.69,13.67,13.73,13.75,11.69,13.75,15237449.0,57.37,+,+,+,+,,,+,+_07-05-2024 09:00:00,+_09-04-2024 09:00:00,-,,+,,,+,,,,,,,,7,1
EPLAS,07-05-2024,7.19,4.2,53.88,7.1,7.04,6.93,6.8,7.12,7.02,7.11,6.99,6.35,7.12,13917087.0,59.4,+,+,,,,,,+_08-04-2024 09:00:00,+_09-04-2024 09:00:00,,,+,+,,+,,+,,,,+,,7,0
INVES,07-05-2024,334.5,3.72,146.34,325.81,324.71,325.81,330.33,326.77,324.73,323.18,323.06,319.05,331.08,151300.33,50.35,,,+,+,,,+,+_07-05-2024 09:00:00,-_14-03-2024 09:00:00,+,,,+,,-,,+,+,,,,,7,1
YESIL,07-05-2024,5.08,9.96,74.86,4.86,4.76,4.61,4.45,4.89,4.73,4.85,4.67,4.37,4.9,28433031.0,63.73,+,+,,,,,,+_19-04-2024 09:00:00,+_22-04-2024 09:00:00,,,+,+,,+,,+,,,,+,,7,0
ISGYO,07-05-2024,16.5,5.7,103.32,15.98,15.86,15.72,15.63,16.04,15.82,15.89,15.72,16.12,16.1,11994637.33,60.3,+,+,,,,,,+_24-04-2024 09:00:00,+_24-04-2024 09:00:00,,,+,+,,+,+,+,,,,,,7,0
YKBNK,07-05-2024,31.72,2.92,54.77,31.33,31.25,30.96,30.24,31.35,31.21,31.33,31.24,21.13,31.43,148603636.33,60.61,+,+,+,,,,,+_19-03-2024 09:00:00,+_19-03-2024 09:00:00,,,+,+,,+,,+,,,,,,7,0
TETMT,07-05-2024,12380.0,6.27,63.24,11859.76,11897.68,12021.45,12137.47,11881.97,11921.93,11778.67,11975.88,6519.85,12220.0,2235.67,52.23,,+,+,,,,,-_22-04-2024 09:00:00,-_26-04-2024 09:00:00,,,,+,,-,,,,+,,+,+,6,1
HUBVC,07-05-2024,12.29,1.65,-23.9,12.06,12.05,12.05,12.08,12.08,12.05,11.98,12.12,9.78,12.29,4116464.33,52.32,,,,+,+,,+,+_07-05-2024 09:00:00,-_30-04-2024 09:00:00,,,,+,,-,,,,,+,+,,6,1
