Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
KZGYO,18-04-2024,23.2,5.94,179.49,22.64,22.58,22.69,23.13,22.67,22.58,22.62,22.42,27.53,23.12,3287846.33,48.41,+,+,+,+,,,+,+_18-04-2024 09:00:00,-_18-04-2024 09:00:00,,,+,+,,,,+,+,+,,,+,11,0
OZSUB,18-04-2024,32.18,9.08,304.52,30.57,30.32,30.33,30.62,30.74,30.29,30.26,29.93,26.38,31.23,992531.33,55.88,+,+,+,+,+,,+,+_18-04-2024 09:00:00,-_19-03-2024 09:00:00,,,+,+,+,-,,,+,,+,,,11,1
TATEN,18-04-2024,34.7,9.95,271.51,33.0,32.71,32.68,33.19,33.17,32.67,32.7,32.27,42.38,33.67,4601952.33,53.09,+,+,+,,+,,+,+_18-04-2024 09:00:00,-_18-04-2024 09:00:00,,,+,+,,,,+,+,,,,+,10,0
NETAS,18-04-2024,87.15,9.97,119.31,82.51,81.58,80.87,80.19,83.0,81.38,81.51,80.67,55.13,84.22,1421699.67,58.4,+,+,+,,,,,+_09-04-2024 09:00:00,+_09-04-2024 09:00:00,,,+,,,+,,+,+,,+,+,+,10,0
CONSE,18-04-2024,6.25,9.84,170.72,5.93,5.87,5.84,5.88,5.96,5.86,5.87,5.8,6.28,6.18,7611133.0,58.81,+,+,+,,+,+,,+_08-04-2024 09:00:00,+_18-04-2024 09:00:00,,,+,+,+,-,,+,+,,,,,10,1
TATGD,18-04-2024,26.3,4.61,94.87,25.78,25.75,25.98,26.8,25.82,25.76,25.77,25.56,31.67,26.03,2701493.0,43.08,+,+,+,+,,,+,+_18-04-2024 09:00:00,-_04-03-2024 09:00:00,,,+,+,,-,,+,,+,,,,9,1
IHAAS,18-04-2024,13.57,1.95,-14.39,13.47,13.45,13.47,13.55,13.47,13.45,13.47,13.4,22.3,13.5,1106920.67,49.15,+,+,+,+,+,,+,+_18-04-2024 09:00:00,-_14-03-2024 09:00:00,,,+,+,,-,,+,,,,,,9,1
VERTU,18-04-2024,47.5,5.46,294.0,46.08,45.69,45.47,45.71,46.24,45.61,45.91,45.15,41.59,46.67,844165.67,55.2,+,+,+,,,+,,+_08-04-2024 09:00:00,+_18-04-2024 09:00:00,,,+,,,-,,+,+,+,,,+,9,1
SAHOL,18-04-2024,85.5,2.4,-18.26,84.96,84.87,84.25,83.16,84.91,84.78,85.38,85.06,65.7,85.15,28387244.0,56.78,+,+,+,+,,,+,+_18-04-2024 09:00:00,+_21-03-2024 09:00:00,,,+,+,,+,,+,,,,,,9,0
INVES,18-04-2024,339.0,4.15,536.04,333.44,334.67,338.26,344.88,333.3,335.27,333.73,334.94,317.58,339.92,140689.0,44.21,+,+,+,,,,,-_14-03-2024 09:00:00,-_14-03-2024 09:00:00,,,+,,+,-,,-,+,+,+,,+,9,2
DOCO,18-04-2024,4990.0,2.15,-4.91,4938.25,4927.08,4918.13,4908.82,4942.32,4924.34,4943.11,4906.21,3976.64,4961.67,8954.67,54.25,+,+,+,,,,,+_08-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,,,-,,+,,+,+,+,+,9,1
IZMDC,18-04-2024,6.78,2.57,45.64,6.74,6.73,6.7,6.66,6.73,6.73,6.76,6.74,6.35,6.73,10534809.33,53.28,+,+,+,+,,,+,+_18-04-2024 09:00:00,+_04-04-2024 09:00:00,,,+,+,,-,,+,,,,,,8,1
OTTO,18-04-2024,353.0,9.88,10.65,329.0,325.41,324.93,326.95,331.47,324.96,324.06,320.92,286.93,349.92,7734.33,59.29,,,,+,+,+,+,+_18-04-2024 09:00:00,+_18-04-2024 09:00:00,+,,,,+,-,,,,,+,,+,8,1
BERA,18-04-2024,19.53,3.12,43.18,19.4,19.4,19.37,19.17,19.39,19.4,19.45,19.4,14.84,19.45,18608631.0,53.59,+,+,+,,+,,,-_17-04-2024 09:00:00,+_05-04-2024 09:00:00,+,,+,+,,-,,+,,,,,,8,1
TUREX,18-04-2024,48.94,5.79,22.41,47.9,47.53,46.77,45.56,47.99,47.39,47.84,47.32,34.28,48.07,687145.33,62.73,+,+,+,,,,,+_12-03-2024 09:00:00,+_18-01-2024 09:00:00,,,+,+,,+,,+,,,+,,,8,0
GEDZA,18-04-2024,27.86,3.19,35.92,27.44,27.32,27.18,27.09,27.49,27.28,27.4,27.18,21.63,27.86,797524.67,54.62,+,+,+,,,,,+_08-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,+,,-,,+,,+,,+,,8,1
DEVA,18-04-2024,73.4,2.87,57.37,72.39,72.21,72.32,73.05,72.48,72.19,72.39,71.68,71.76,72.63,541211.0,49.17,+,+,+,,+,,+,+_18-04-2024 09:00:00,-_23-02-2024 09:00:00,,,+,,,-,+,+,,,,,,8,1
PRDGS,18-04-2024,6.44,3.04,62.45,6.37,6.36,6.38,6.47,6.38,6.36,6.38,6.32,6.94,6.45,4390018.33,47.47,+,+,+,+,,,+,+_18-04-2024 09:00:00,-_04-03-2024 09:00:00,,,+,+,,-,,,,,,,,7,1
KRDMD,18-04-2024,24.1,4.06,84.2,23.68,23.54,23.47,23.66,23.73,23.51,23.69,23.29,24.08,23.81,41254792.67,51.4,+,+,+,,,+,,+_08-04-2024 09:00:00,+_18-04-2024 09:00:00,,,+,,,-,+,+,,,,,,7,1
SARKY,18-04-2024,32.06,2.56,1.03,31.8,31.68,31.56,31.57,31.82,31.65,31.87,31.48,30.63,31.83,1257554.67,52.41,+,+,+,,,,,+_08-04-2024 09:00:00,+_09-04-2024 09:00:00,,,+,+,,-,,+,,,,,+,7,1
SOKE,18-04-2024,16.3,3.43,82.76,16.05,16.05,16.19,16.58,16.06,16.06,16.02,15.98,17.71,16.2,3973872.67,42.79,+,+,+,,,,,-_16-04-2024 09:00:00,-_28-02-2024 09:00:00,+,,+,+,,-,,+,,,,,,7,1
MOBTL,18-04-2024,6.26,1.79,51.6,6.24,6.23,6.23,6.29,6.24,6.23,6.3,6.2,4.99,6.33,18103360.0,49.21,+,+,+,,,,+,+_18-04-2024 09:00:00,-_16-04-2024 09:00:00,,,+,+,,-,,,,,,,+,7,1
ALMAD,18-04-2024,7.66,2.13,5.42,7.61,7.6,7.61,7.67,7.62,7.59,7.61,7.54,7.26,7.54,2112785.0,48.7,+,+,+,,+,,,+_09-04-2024 09:00:00,-_13-03-2024 09:00:00,,,+,+,,-,,+,,-,,,,7,2
IZENR,18-04-2024,27.12,2.34,181.01,26.95,26.88,26.97,27.43,26.97,26.88,26.93,26.69,36.92,27.44,5821385.33,45.99,+,+,+,,,,,+_09-04-2024 09:00:00,-_18-04-2024 09:00:00,,,+,+,,,,,+,,,,+,7,0
JANTS,18-04-2024,324.0,4.26,292.0,316.72,314.7,310.01,298.03,317.56,313.97,315.21,313.01,175.52,324.25,2105598.33,60.44,+,+,,,,,,+_09-04-2024 09:00:00,+_25-01-2024 09:00:00,+,,+,+,,+,,,+,,,,,7,0
EYGYO,18-04-2024,10.46,4.91,-0.65,10.27,10.28,10.34,10.49,10.28,10.28,10.29,10.24,10.01,10.13,2628902.33,48.61,+,+,+,,,,,-_16-04-2024 09:00:00,-_18-03-2024 09:00:00,,,+,+,,-,+,+,,,,,,7,1
YYLGD,18-04-2024,13.29,2.23,-10.23,13.24,13.21,13.24,13.4,13.24,13.21,13.26,13.13,14.65,13.19,7564759.67,46.55,+,+,+,,+,,,+_08-04-2024 09:00:00,-_28-02-2024 09:00:00,,,+,+,,-,,+,,-,,,,7,2
EMNIS,18-04-2024,259.0,9.93,52.97,245.01,242.63,240.12,234.23,246.31,242.1,243.18,239.27,124.52,252.77,11013.33,60.03,+,+,+,,,,+,+_18-04-2024 09:00:00,+_05-04-2024 09:00:00,,,+,,,+,,,,,,+,,7,0
KOPOL,18-04-2024,45.78,4.05,-15.77,45.52,45.56,45.7,46.14,45.48,45.58,45.68,45.5,51.19,45.25,1407503.67,47.97,+,+,+,,,,,-_17-04-2024 09:00:00,-_16-04-2024 09:00:00,,,+,+,,-,,+,,,,,,6,1
ISSEN,18-04-2024,10.78,1.7,-23.32,10.73,10.69,10.66,10.7,10.73,10.68,10.73,10.65,13.88,10.72,1316407.33,50.28,+,+,+,,,,,+_05-04-2024 09:00:00,+_15-04-2024 09:00:00,,,+,+,,-,,+,,,,,,6,1
PRKAB,18-04-2024,35.4,1.67,28.4,35.38,35.36,35.41,35.73,35.37,35.35,35.5,35.21,33.55,35.37,836831.67,47.61,+,+,,,,,,+_08-04-2024 09:00:00,-_16-04-2024 09:00:00,,,+,+,,-,,+,,,,,+,6,1
